date,close,osef,osef,osef,osef,close
06/02/2014,1.3590,1.3531,1.3619,1.3483,0.42%,1.3590
05/02/2014,1.3533,1.3518,1.3554,1.3497,0.10%,1.3533
04/02/2014,1.3519,1.3523,1.3538,1.3492,-0.04%,1.3519
03/02/2014,1.3525,1.3492,1.3535,1.3475,0.28%,1.3525
02/02/2014,1.3487,1.3489,1.3492,1.3482,0.00%,1.3487
31/01/2014,1.3487,1.3555,1.3568,1.3478,-0.51%,1.3487
30/01/2014,1.3556,1.3661,1.3665,1.3542,-0.78%,1.3556
29/01/2014,1.3663,1.3667,1.3684,1.3602,-0.04%,1.3663
28/01/2014,1.3669,1.3672,1.3688,1.3628,-0.02%,1.3669
27/01/2014,1.3672,1.3675,1.3716,1.3652,-0.10%,1.3672
26/01/2014,1.3686,1.3683,1.3691,1.3675,0.06%,1.3686
24/01/2014,1.3678,1.3694,1.3739,1.3662,-0.12%,1.3678
23/01/2014,1.3695,1.3546,1.3698,1.3529,1.09%,1.3695
22/01/2014,1.3547,1.3558,1.3582,1.3533,-0.10%,1.3547
21/01/2014,1.3561,1.3550,1.3569,1.3515,0.07%,1.3561
20/01/2014,1.3552,1.3541,1.3568,1.3506,0.18%,1.3552
19/01/2014,1.3527,1.3541,1.3541,1.3525,-0.10%,1.3527
17/01/2014,1.3541,1.3618,1.3621,1.3515,-0.58%,1.3541
16/01/2014,1.3620,1.3603,1.3649,1.3581,0.11%,1.3620
15/01/2014,1.3605,1.3678,1.3682,1.3580,-0.54%,1.3605
14/01/2014,1.3679,1.3669,1.3698,1.3647,0.05%,1.3679
13/01/2014,1.3672,1.3668,1.3684,1.3636,0.00%,1.3672
12/01/2014,1.3672,1.3669,1.3679,1.3665,0.01%,1.3672
10/01/2014,1.3670,1.3607,1.3687,1.3574,0.46%,1.3670
09/01/2014,1.3608,1.3574,1.3633,1.3547,0.24%,1.3608
08/01/2014,1.3576,1.3615,1.3635,1.3552,-0.29%,1.3576
07/01/2014,1.3616,1.3626,1.3656,1.3595,-0.09%,1.3616
06/01/2014,1.3628,1.3588,1.3652,1.3570,0.24%,1.3628
05/01/2014,1.3596,1.3589,1.3600,1.3589,0.06%,1.3596
03/01/2014,1.3588,1.3670,1.3672,1.3581,-0.61%,1.3588
02/01/2014,1.3672,1.3754,1.3775,1.3628,-0.60%,1.3672
01/01/2014,1.3754,1.3740,1.3767,1.3740,0.06%,1.3754
31/12/2013,1.3746,1.3802,1.3812,1.3741,-0.42%,1.3746
30/12/2013,1.3804,1.3742,1.3819,1.3727,0.38%,1.3804
29/12/2013,1.3752,1.3745,1.3769,1.3745,0.07%,1.3752
27/12/2013,1.3742,1.3691,1.3892,1.3685,0.37%,1.3742
26/12/2013,1.3692,1.3679,1.3701,1.3661,0.09%,1.3692
25/12/2013,1.3680,1.3682,1.3708,1.3659,-0.03%,1.3680
24/12/2013,1.3684,1.3695,1.3702,1.3653,-0.09%,1.3684
23/12/2013,1.3696,1.3669,1.3716,1.3665,0.13%,1.3696
22/12/2013,1.3678,1.3672,1.3678,1.3668,0.04%,1.3678
20/12/2013,1.3672,1.3662,1.3709,1.3623,0.07%,1.3672
19/12/2013,1.3663,1.3684,1.3694,1.3648,-0.16%,1.3663
18/12/2013,1.3685,1.3768,1.3811,1.3673,-0.60%,1.3685
17/12/2013,1.3768,1.3760,1.3782,1.3722,0.05%,1.3768
16/12/2013,1.3761,1.3739,1.3798,1.3723,0.17%,1.3761
15/12/2013,1.3738,1.3742,1.3742,1.3729,-0.04%,1.3738
13/12/2013,1.3743,1.3753,1.3769,1.3708,-0.09%,1.3743
12/12/2013,1.3755,1.3786,1.3803,1.3735,-0.22%,1.3755
11/12/2013,1.3785,1.3759,1.3810,1.3739,0.17%,1.3785
10/12/2013,1.3761,1.3736,1.3795,1.3731,0.16%,1.3761
09/12/2013,1.3739,1.3719,1.3745,1.3692,0.24%,1.3739
08/12/2013,1.3706,1.3705,1.3720,1.3704,0.01%,1.3706
06/12/2013,1.3705,1.3666,1.3706,1.3627,0.28%,1.3705
05/12/2013,1.3667,1.3593,1.3677,1.3542,0.54%,1.3667
04/12/2013,1.3594,1.3588,1.3604,1.3527,0.03%,1.3594
03/12/2013,1.3590,1.3540,1.3613,1.3522,0.36%,1.3590
02/12/2013,1.3541,1.3588,1.3616,1.3524,-0.32%,1.3541
01/12/2013,1.3585,1.3591,1.3593,1.3581,-0.04%,1.3585
29/11/2013,1.3591,1.3604,1.3621,1.3578,-0.10%,1.3591
28/11/2013,1.3605,1.3579,1.3617,1.3562,0.19%,1.3605
27/11/2013,1.3579,1.3570,1.3612,1.3556,0.05%,1.3579
26/11/2013,1.3572,1.3516,1.3574,1.3513,0.41%,1.3572
25/11/2013,1.3517,1.3548,1.3559,1.3489,-0.26%,1.3517
24/11/2013,1.3552,1.3556,1.3560,1.3548,-0.04%,1.3552
22/11/2013,1.3558,1.3481,1.3558,1.3461,0.56%,1.3558
21/11/2013,1.3482,1.3439,1.3486,1.3398,0.32%,1.3482
20/11/2013,1.3439,1.3538,1.3577,1.3415,-0.74%,1.3439
19/11/2013,1.3539,1.3503,1.3547,1.3486,0.25%,1.3539
18/11/2013,1.3505,1.3500,1.3541,1.3473,0.17%,1.3505
17/11/2013,1.3482,1.3497,1.3499,1.3480,-0.10%,1.3482
15/11/2013,1.3496,1.3458,1.3505,1.3431,0.27%,1.3496
14/11/2013,1.3459,1.3486,1.3497,1.3417,-0.20%,1.3459
13/11/2013,1.3486,1.3434,1.3495,1.3389,0.37%,1.3486
12/11/2013,1.3436,1.3406,1.3456,1.3358,0.22%,1.3436
11/11/2013,1.3406,1.3361,1.3416,1.3343,0.45%,1.3406
10/11/2013,1.3346,1.3364,1.3364,1.3345,-0.19%,1.3346
08/11/2013,1.3372,1.3419,1.3438,1.3316,-0.35%,1.3372
07/11/2013,1.3419,1.3512,1.3528,1.3295,-0.70%,1.3419
06/11/2013,1.3513,1.3473,1.3547,1.3466,0.28%,1.3513
05/11/2013,1.3475,1.3513,1.3522,1.3448,-0.30%,1.3475
04/11/2013,1.3516,1.3487,1.3524,1.3441,0.18%,1.3516
03/11/2013,1.3492,1.3492,1.3496,1.3486,0.04%,1.3492
01/11/2013,1.3487,1.3582,1.3589,1.3478,-0.71%,1.3487
31/10/2013,1.3584,1.3734,1.3738,1.3574,-1.11%,1.3584
30/10/2013,1.3736,1.3744,1.3784,1.3695,-0.07%,1.3736
29/10/2013,1.3745,1.3783,1.3813,1.3735,-0.28%,1.3745
28/10/2013,1.3784,1.3802,1.3817,1.3774,-0.14%,1.3784
27/10/2013,1.3804,1.3805,1.3811,1.3800,-0.01%,1.3804
25/10/2013,1.3805,1.3800,1.3832,1.3773,0.04%,1.3805
24/10/2013,1.3800,1.3775,1.3825,1.3763,0.17%,1.3800
23/10/2013,1.3777,1.3781,1.3792,1.3739,-0.03%,1.3777
22/10/2013,1.3781,1.3681,1.3792,1.3660,0.72%,1.3781
21/10/2013,1.3682,1.3686,1.3690,1.3649,0.00%,1.3682
20/10/2013,1.3682,1.3685,1.3688,1.3681,-0.01%,1.3682
18/10/2013,1.3684,1.3674,1.3703,1.3658,0.06%,1.3684
17/10/2013,1.3676,1.3534,1.3681,1.3514,1.04%,1.3676
16/10/2013,1.3535,1.3522,1.3567,1.3472,0.09%,1.3535
15/10/2013,1.3523,1.3560,1.3571,1.3478,-0.28%,1.3523
14/10/2013,1.3561,1.3543,1.3597,1.3542,0.04%,1.3561
13/10/2013,1.3556,1.3540,1.3563,1.3540,0.10%,1.3556
11/10/2013,1.3542,1.3518,1.3581,1.3516,0.16%,1.3542
10/10/2013,1.3520,1.3523,1.3545,1.3487,-0.03%,1.3520
09/10/2013,1.3524,1.3572,1.3604,1.3485,-0.36%,1.3524
08/10/2013,1.3573,1.3581,1.3607,1.3556,-0.07%,1.3573
07/10/2013,1.3582,1.3555,1.3591,1.3541,0.10%,1.3582
06/10/2013,1.3568,1.3566,1.3572,1.3561,0.07%,1.3568
04/10/2013,1.3558,1.3617,1.3631,1.3537,-0.44%,1.3558
03/10/2013,1.3618,1.3576,1.3645,1.3575,0.29%,1.3618
02/10/2013,1.3579,1.3524,1.3606,1.3506,0.39%,1.3579
01/10/2013,1.3526,1.3526,1.3588,1.3515,0.00%,1.3526
30/09/2013,1.3526,1.3478,1.3555,1.3466,0.23%,1.3526
29/09/2013,1.3495,1.3522,1.3522,1.3478,-0.20%,1.3495
27/09/2013,1.3522,1.3486,1.3564,1.3472,0.24%,1.3522
26/09/2013,1.3489,1.3525,1.3528,1.3470,-0.27%,1.3489
25/09/2013,1.3526,1.3472,1.3537,1.3460,0.39%,1.3526
24/09/2013,1.3474,1.3492,1.3518,1.3463,-0.14%,1.3474
23/09/2013,1.3493,1.3545,1.3555,1.3478,-0.30%,1.3493
22/09/2013,1.3534,1.3523,1.3554,1.3523,0.07%,1.3534
20/09/2013,1.3524,1.3529,1.3548,1.3496,-0.04%,1.3524
19/09/2013,1.3530,1.3520,1.3568,1.3499,0.06%,1.3530
