Date,Open,High,Low,Close,Volume,Adj Close
2004-01-12,112.55,113.25,112.36,113.22,31564100,90.75
2004-01-09,112.83,113.50,112.27,112.39,54084300,90.09
2004-01-08,113.25,113.41,112.77,113.38,36438400,90.88
2004-01-07,112.39,113.06,111.89,112.93,30170400,90.52
2004-01-06,112.16,112.73,112.00,112.55,20472800,90.21
2004-01-05,111.69,112.52,111.59,112.44,27959800,90.13
2004-01-02,111.74,112.19,110.73,111.23,38072300,89.16
2003-12-31,111.22,111.52,110.84,111.28,31501800,89.20
2003-12-30,111.09,111.27,110.85,111.18,19559500,89.12
2003-12-29,110.10,111.27,109.78,111.16,22483700,89.10
2003-12-26,109.71,110.08,109.63,109.70,8308400,87.93
2003-12-24,109.52,109.88,109.43,109.62,8055800,87.87
2003-12-23,109.48,109.95,109.38,109.73,24741200,87.95
2003-12-22,108.79,109.66,108.78,109.66,27611300,87.90
2003-12-19,109.30,109.37,108.58,108.90,41465100,87.29
2003-12-18,108.55,109.73,108.39,109.72,29353100,87.53
2003-12-17,108.06,108.50,107.80,108.50,23198800,86.56
2003-12-16,107.68,108.50,107.52,108.16,32894200,86.29
2003-12-15,109.17,109.23,107.48,107.60,38693400,85.84
2003-12-12,107.97,108.20,107.39,108.14,34142200,86.27
2003-12-11,106.68,108.10,106.67,107.93,45304000,86.10
2003-12-10,106.77,106.98,105.96,106.73,36915400,85.15
2003-12-09,107.90,107.93,106.54,106.74,43596100,85.15
2003-12-08,106.74,107.64,106.68,107.57,32482900,85.82
2003-12-05,107.12,107.80,106.62,106.85,28824400,85.24
2003-12-04,107.17,107.72,106.94,107.60,36089500,85.84
2003-12-03,107.65,108.08,107.07,107.16,39078600,85.49
2003-12-02,107.38,107.77,107.07,107.33,35352000,85.63
2003-12-01,106.85,107.68,106.80,107.60,38699000,85.84
2003-11-28,106.28,106.66,106.20,106.45,10507500,84.92
2003-11-26,106.42,106.45,105.39,106.37,33053600,84.86
2003-11-25,105.73,106.42,105.45,105.99,37580000,84.56
2003-11-24,104.69,105.78,104.68,105.59,28906400,84.24
2003-11-21,104.24,104.33,103.62,104.21,30016000,83.14
2003-11-20,104.00,105.24,103.75,103.78,53578700,82.79
2003-11-19,104.03,105.01,103.92,104.72,29827000,83.54
2003-11-18,105.24,105.45,103.70,103.84,41155000,82.84
2003-11-17,104.91,105.14,104.04,104.93,44382100,83.71
2003-11-14,106.40,106.95,105.29,105.46,49158500,84.13
2003-11-13,106.01,106.54,105.78,106.36,29714800,84.85
2003-11-12,105.23,106.47,105.16,106.33,28000000,84.83
2003-11-11,105.09,105.33,104.80,105.15,26558600,83.89
2003-11-10,105.74,105.84,105.01,105.18,25530800,83.91
2003-11-07,106.64,106.72,105.57,105.61,31723200,84.25
2003-11-06,105.60,106.44,105.10,106.40,28392300,84.88
2003-11-05,105.49,105.97,104.90,105.84,33558800,84.44
2003-11-04,105.99,106.27,105.58,105.76,31421600,84.37
2003-11-03,105.75,106.61,105.71,105.99,37589300,84.56
2003-10-31,105.40,105.74,105.22,105.30,25761600,84.01
2003-10-30,105.79,105.97,104.80,105.40,39123100,84.09
2003-10-29,104.77,105.43,103.87,105.18,30955400,83.91
2003-10-28,103.98,105.15,103.82,105.04,34956200,83.80
2003-10-27,103.74,104.18,103.27,103.63,32460200,82.67
2003-10-24,102.83,103.58,102.18,103.58,51723600,82.63
2003-10-23,102.89,103.95,102.84,103.35,45830500,82.45
2003-10-22,104.03,104.19,103.19,103.54,33914500,82.60
2003-10-21,104.82,105.28,104.32,104.86,26729100,83.66
2003-10-20,104.45,105.04,103.94,105.04,27657000,83.80
2003-10-17,105.47,105.63,103.98,104.26,32790300,83.18
2003-10-16,104.68,105.73,104.65,105.41,32772200,84.09
2003-10-15,105.86,105.89,104.64,104.99,39021700,83.76
2003-10-14,104.80,105.43,104.36,105.27,38484400,83.98
2003-10-13,104.71,105.29,104.51,104.90,23825600,83.69
2003-10-10,104.27,104.60,103.91,104.57,22682800,83.42
2003-10-09,104.88,105.22,103.83,104.28,40066500,83.19
2003-10-08,104.33,104.39,103.41,104.00,30920800,82.97
2003-10-07,103.26,104.31,102.91,104.26,42602900,83.18
2003-10-06,103.48,103.99,103.20,103.86,20226500,82.86
2003-10-03,103.67,104.28,103.08,103.39,48806900,82.48
2003-10-02,101.93,102.56,101.63,102.45,44591500,81.73
2003-10-01,100.24,102.18,100.20,102.08,65797600,81.44
2003-09-30,100.48,100.76,99.25,99.95,70764500,79.74
2003-09-29,100.30,100.99,99.79,100.93,36771600,80.52
