date,close,osef,osef,osef,osef,close
06/09/2013,110.53,108.52,110.70,108.12,269,110.53
05/09/2013,108.37,107.59,108.54,107.13,184,108.37
04/09/2013,107.23,108.44,108.61,106.77,224,107.23
03/09/2013,108.54,107.07,108.83,104.21,288,108.54
02/09/2013,106.75,105.91,107.29,105.86,-,106.75
30/08/2013,107.65,108.17,108.75,106.75,239,107.65
29/08/2013,108.80,109.53,110.07,107.72,250,108.80
28/08/2013,110.10,109.22,112.24,109.11,336,110.10
27/08/2013,109.01,106.14,109.32,105.88,295,109.01
26/08/2013,105.92,106.91,107.37,105.56,166,105.92
23/08/2013,106.42,105.22,106.94,104.30,259,106.42
22/08/2013,105.03,103.86,105.25,103.53,204,105.03
21/08/2013,103.85,105.18,105.35,103.50,259,103.85
20/08/2013,104.97,106.93,107.10,104.50,39,104.97
19/08/2013,107.10,107.78,107.80,106.56,102,107.10
16/08/2013,107.46,107.18,108.17,106.56,179,107.46
15/08/2013,107.33,106.98,107.87,106.60,251,107.33
14/08/2013,106.85,106.54,107.06,105.60,270,106.85
13/08/2013,106.83,106.15,107.20,105.56,276,106.83
12/08/2013,106.11,105.84,106.46,105.03,257,106.11
09/08/2013,105.97,103.87,106.24,103.62,303,105.97
08/08/2013,103.40,104.18,104.96,102.22,320,103.40
07/08/2013,104.37,105.68,105.77,104.10,294,104.37
06/08/2013,105.30,106.48,107.27,104.86,273,105.30
05/08/2013,106.56,106.84,107.69,105.70,204,106.56
02/08/2013,106.94,107.80,108.82,106.45,249,106.94
01/08/2013,107.89,105.26,108.06,105.10,267,107.89
31/07/2013,105.03,103.15,105.43,102.93,299,105.03
30/07/2013,103.08,104.52,104.54,102.67,235,103.08
29/07/2013,104.55,104.61,105.37,103.87,206,104.55
26/07/2013,104.70,105.56,105.63,103.90,208,104.70
25/07/2013,105.49,105.37,105.87,104.08,270,105.49
24/07/2013,105.39,107.36,107.52,104.79,278,105.39
23/07/2013,107.23,107.00,107.55,105.46,241,107.23
